OBJECTID,code,name,longitude,latitude,address,City,Users2017
1,R10D,Elevated 3,-96.286805000000001,30.699642000000001,6705 FM 1179,Wixon Valley,11
2,R11D,Lift Station 158,-96.318701000000004,30.670726999999999,Briarcrest & Boonville,Bryan,9
3,R12D,Luza,-96.356104999999999,30.663399999999999,Luza & E 28,Bryan,8
4,R13D,Plant 1,-96.320283000000003,30.639717000000001,Park Rd,Bryan,10
5,R14D,Golf Course,-96.361376000000007,30.638694999999998,Country Club Lake,Bryan,4
6,R15D,Burgess,-96.382537999999997,30.593692999999998,Burgess,Bryan,6
7,R8D,Well 4,-96.334022000000004,30.789774000000001,7630 Harris Lane,Wixon Valley,4
8,R9D,Interconnect,-96.334064999999995,30.683364000000001,Bullinger Creek Drive,Wixon Valley,10
9,RG01D,Veteran's Park,-96.297357000000005,30.641614000000001,301 Harvey Rd,College Station,92
10,RG02D,Hensel Park,-96.348611899999995,30.628621100000000,540 Floriculture,College Station,10
11,RG03D,Luther Street,-96.347303999999994,30.585811000000000,1101 FM 2818,College Station,45
12,RG04D,Rio Grand,-96.309925100000001,30.591941400000000,2200 Rio Grande,College Station,48
13,RG05D,Barron Rd,-96.283015000000006,30.564729000000000,1900 Barron Road,College Station,72
14,RG06D,Creek Meadow,-96.295265200000003,30.519379499999999,4275 Greens Prairie Trail,College Station,14
15,RG07D,William Fitch,-96.249225999999993,30.568111999999999,1601 William D Fitch Parkway,College Station,58
16,WX01D,Carter Creek,-96.279300000000006,30.615977000000001,2200 North Forest Parkway,College Station,18
17,WX02D,LSPS_WS,-96.409814999999995,30.714925999999998,5429 N Texas Ave,Bryan,4
